checkpoint,train_h,train_r,train_t,test_h,test_r,test_t,influence
model_10.pt,CHEBI:28077,predicate:0,MONDO:0005244,CHEBI:6706,predicate:2,MONDO:0004985,0.0
model_10.pt,CHEBI:8077,predicate:2,MONDO:0004994,CHEBI:6706,predicate:2,MONDO:0004985,47.96271514892578
model_10.pt,UNII:YI437801BE,predicate:2,MONDO:0001056,CHEBI:6706,predicate:2,MONDO:0004985,49.31544876098633
model_10.pt,CHEBI:2549,predicate:3,UMLS:C0267596,CHEBI:6706,predicate:2,MONDO:0004985,0.0
model_10.pt,CHEBI:91398,predicate:2,MONDO:0005061,CHEBI:6706,predicate:2,MONDO:0004985,6.58803129196167
model_10.pt,CHEBI:28838,predicate:3,HP:0000217,CHEBI:6706,predicate:2,MONDO:0004985,0.0
model_10.pt,CHEBI:81579,predicate:3,HP:0000969,CHEBI:6706,predicate:2,MONDO:0004985,0.0
model_10.pt,UNII:83G67E21XI,predicate:2,MONDO:0012725,CHEBI:6706,predicate:2,MONDO:0004985,-44.84162521362305
model_10.pt,CHEBI:175901,predicate:0,MONDO:0004982,CHEBI:6706,predicate:2,MONDO:0004985,0.0
model_10.pt,CHEBI:28790,predicate:0,MONDO:0001673,CHEBI:6706,predicate:2,MONDO:0004985,0.0
model_10.pt,CHEBI:17833,predicate:2,MONDO:0005369,CHEBI:6706,predicate:2,MONDO:0004985,38.06386184692383
model_10.pt,CHEBI:63605,predicate:1,MONDO:0005071,CHEBI:6706,predicate:2,MONDO:0004985,0.0
model_10.pt,CHEBI:6809,predicate:0,HP:0001714,CHEBI:6706,predicate:2,MONDO:0004985,0.0
model_10.pt,CHEBI:8028,predicate:0,MONDO:0001584,CHEBI:6706,predicate:2,MONDO:0004985,0.0
model_10.pt,UNII:90ZX3Q3FR7,predicate:0,MONDO:0004781,CHEBI:6706,predicate:2,MONDO:0004985,0.0
model_10.pt,CHEBI:47898,predicate:1,MONDO:0004980,CHEBI:6706,predicate:2,MONDO:0004985,0.0
model_10.pt,CHEBI:59173,predicate:3,HP:0012251,CHEBI:6706,predicate:2,MONDO:0004985,0.0
