checkpoint,train_h,train_r,train_t,test_h,test_r,test_t,influence
model_10.pt,MONDO:0012176,predicate:13,HP:0003028,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,CHEBI:6809,predicate:9,NCBIGene:8061,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,PUBCHEM.COMPOUND:1113514,predicate:0,NCBIGene:946552,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,PUBCHEM.COMPOUND:137636752,predicate:0,NCBIGene:3065,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,CHEBI:367163,predicate:16,MONDO:0015691,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,PUBCHEM.COMPOUND:130200977,predicate:10,NCBIGene:4988,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,NCBIGene:78987,predicate:3,NCBIGene:92255,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,NCBIGene:6352,predicate:36,NCBIGene:1234,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,CHEBI:6443,predicate:7,NCBIGene:8644,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,DRUGBANK:DB11158,predicate:12,MONDO:0005147,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,CHEBI:5000,predicate:12,MONDO:0001076,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,NCBIGene:8089,predicate:3,NCBIGene:26122,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,NCBIGene:10400,predicate:4,PUBCHEM.COMPOUND:52924335,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,NCBIGene:10618,predicate:3,NCBIGene:54887,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,NCBIGene:3308,predicate:15,MONDO:0005559,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,CHEBI:17351,predicate:7,NCBIGene:5315,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,CHEMBL.COMPOUND:CHEMBL4747062,predicate:0,NCBIGene:23028,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,CHEBI:16842,predicate:9,NCBIGene:3557,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,NCBIGene:4616,predicate:1,NCBIGene:2034,NCBIGene:27230,predicate:1,NCBIGene:55325,-71.67643737792969
model_10.pt,NCBIGene:10201,predicate:1,NCBIGene:6154,NCBIGene:27230,predicate:1,NCBIGene:55325,-39.54631042480469
model_10.pt,NCBIGene:794,predicate:6,NCBIGene:7135,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,NCBIGene:50834,predicate:1,NCBIGene:403277,NCBIGene:27230,predicate:1,NCBIGene:55325,-57.12114715576172
model_10.pt,CHEBI:3755,predicate:2,MONDO:0007263,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,PUBCHEM.COMPOUND:131762323,predicate:5,NCBIGene:5407,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,PUBCHEM.COMPOUND:54325967,predicate:0,NCBIGene:5468,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,CHEBI:64354,predicate:0,NCBIGene:6559,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,CHEBI:44423,predicate:7,NCBIGene:3162,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,NCBIGene:113174,predicate:10,NCBIGene:100528017,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,NCBIGene:4502,predicate:1,NCBIGene:10912,NCBIGene:27230,predicate:1,NCBIGene:55325,-56.18060302734375
model_10.pt,NCBIGene:5321,predicate:4,PUBCHEM.COMPOUND:53478731,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,CHEBI:3755,predicate:7,NCBIGene:2100,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,NCBIGene:51741,predicate:13,HP:0000253,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,CHEBI:156122,predicate:5,NCBIGene:23761,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,NCBIGene:245865,predicate:3,NCBIGene:194974,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,PUBCHEM.COMPOUND:127036977,predicate:0,NCBIGene:135,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,PUBCHEM.COMPOUND:44433263,predicate:0,NCBIGene:1576,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,CHEBI:16469,predicate:7,NCBIGene:10587,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,PUBCHEM.COMPOUND:44314087,predicate:0,NCBIGene:4313,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,PUBCHEM.COMPOUND:25093440,predicate:0,NCBIGene:1147,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,NCBIGene:20962,predicate:3,NCBIGene:219150,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,NCBIGene:23051,predicate:15,MONDO:0005068,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
model_10.pt,NCBIGene:10565,predicate:6,NCBIGene:284369,NCBIGene:27230,predicate:1,NCBIGene:55325,0.0
