checkpoint,train_h,train_r,train_t,test_h,test_r,test_t,influence
model_10.pt,MONDO:0012176,predicate:20,HP:0003028,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEBI:16959,predicate:17,CHEBI:172284,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,PUBCHEM.COMPOUND:68020555,predicate:0,PUBCHEM.COMPOUND:44459583,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,PUBCHEM.COMPOUND:137636752,predicate:0,CHEBI:134753,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,PUBCHEM.COMPOUND:124221273,predicate:23,MONDO:0015691,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,PUBCHEM.COMPOUND:130200977,predicate:18,CHEBI:144991,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,MONDO:0005044,predicate:11,MONDO:0056796,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEBI:16592,predicate:41,CHEBI:114693,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEBI:166772,predicate:15,CHEBI:175537,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,DRUGBANK:DB11158,predicate:2,MONDO:0005147,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEBI:145008,predicate:2,MONDO:0001076,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEBI:172333,predicate:11,CHEBI:84017,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEBI:188563,predicate:12,PUBCHEM.COMPOUND:52924335,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEBI:190239,predicate:11,HMDB:HMDB0072989,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEBI:135278,predicate:22,MONDO:0005559,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEBI:47040,predicate:15,CHEBI:146256,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEMBL.COMPOUND:CHEMBL4747062,predicate:0,CHEBI:71479,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEBI:42371,predicate:17,CHEBI:135736,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEBI:143114,predicate:1,CHEBI:125432,CHEBI:88548,predicate:1,HMDB:HMDB0073866,-71.67643737792969
model_10.pt,CHEBI:185767,predicate:1,CHEBI:16264,CHEBI:88548,predicate:1,HMDB:HMDB0073866,-39.54631042480469
model_10.pt,CHEBI:109317,predicate:14,CHEBI:170587,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEMBL.COMPOUND:CHEMBL4877928,predicate:1,PUBCHEM.COMPOUND:130363355,CHEBI:88548,predicate:1,HMDB:HMDB0073866,-57.12114715576172
model_10.pt,CHEBI:136073,predicate:10,MONDO:0007263,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,PUBCHEM.COMPOUND:131762323,predicate:13,CHEBI:149534,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,PUBCHEM.COMPOUND:54325967,predicate:0,CHEBI:149800,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,HP:0000021,predicate:0,CHEBI:167578,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEMBL.COMPOUND:CHEMBL4782467,predicate:15,CHEBI:134948,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,NCBIGene:23163,predicate:18,NCBIGene:100528017,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEBI:142271,predicate:1,CHEBI:192396,CHEBI:88548,predicate:1,HMDB:HMDB0073866,-56.18060302734375
model_10.pt,CHEBI:146285,predicate:12,PUBCHEM.COMPOUND:53478731,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEBI:136073,predicate:15,CHEBI:125586,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,CHEMBL.COMPOUND:CHEMBL596806,predicate:20,HP:0000253,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,NCBIGene:838170,predicate:13,CHEBI:75099,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,PUBCHEM.COMPOUND:117859783,predicate:11,PUBCHEM.COMPOUND:10525997,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
model_10.pt,PUBCHEM.COMPOUND:127036977,predicate:0,CHEBI:103739,CHEBI:88548,predicate:1,HMDB:HMDB0073866,0.0
